object_id,area,perimeter,equivalent_diameter,major_axis_length,minor_axis_length,eccentricity,circularity,centroid_x,centroid_y,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,image
1,3294.0,232.79393923933998,64.76149365446743,70.55277509992554,60.33394285273885,0.5183633918199566,0.7638184072299983,1164.5540376442016,79.93230115361263,47,1130,114,1203,dECM_2_1
2,2792.0,205.33809511662426,59.62285475302717,67.36798671826502,53.447050777086496,0.6087530431944229,0.8321204979777027,1378.6515042979943,77.71131805157593,48,1348,106,1413,dECM_2_1
3,3158.0,220.3086578651014,63.41049189427286,66.77962739624205,60.80888709077598,0.41330997802054564,0.8176338448957298,1269.5522482583913,261.4141861937935,229,1240,298,1302,dECM_2_1
4,3043.0,211.33809511662426,62.24522419133134,66.44282164474602,58.60879777909706,0.4710738946796962,0.8561625736719217,1054.1968452185342,267.8508051265199,238,1022,298,1088,dECM_2_1
5,2844.0,201.095454429505,60.17552048156129,64.9638904427604,56.079901400520086,0.504781281488391,0.883761235789286,1163.4535864978902,447.2907876230661,415,1137,479,1194,dECM_2_1
6,2735.0,212.65180361560903,59.01110196268724,62.45182705891298,56.74325890285742,0.4176837914796167,0.7600270572173837,1373.9180987202924,446.7846435100548,416,1344,480,1404,dECM_2_1
7,2868.0,202.99494936611663,60.4288922147382,61.552552515282734,59.51973125874231,0.2548742123076658,0.8746182716057815,947.7928870292887,451.3172942817294,421,917,483,979,dECM_2_1
8,3632.0,241.86500705120545,68.0029854232747,70.53725449969697,66.357237355119,0.33912785799676815,0.7802066097051829,421.863986784141,625.9944933920705,592,384,662,458,dECM_2_1
9,3204.0,225.55129855222066,63.87064663310887,70.33430751768769,58.595702431758994,0.5531183138133026,0.7914285407514112,1058.4032459425719,625.5577403245943,593,1022,659,1091,dECM_2_1
10,2429.0,191.23759005323595,55.61203875206977,58.649806019402995,53.15972079409732,0.4224374066702037,0.834623972405369,1269.342939481268,628.4174557431041,596,1243,660,1298,dECM_2_1
11,3930.0,257.6223663640862,70.7377650962284,73.1617320154167,69.64112625812751,0.3064736701140196,0.7441068186617987,528.6539440203562,813.1117048346056,778,492,848,569,dECM_2_1
12,3633.0,228.89444430272832,68.01234642344613,71.73119341008342,64.87956461579257,0.42651205155733074,0.871374323472826,951.9496284062758,813.353977429122,780,918,851,985,dECM_2_1
13,3032.0,206.99494936611666,62.13261864461383,65.40887277506384,59.23037921772578,0.4242599644971859,0.8892411736548512,1168.3446569920845,812.9986807387863,781,1138,846,1199,dECM_2_1
14,2424.0,193.6812408671319,55.554771680189944,56.930450109895915,55.896333997416164,0.18973442687820014,0.8120211887505568,1380.0684818481848,812.3869636963697,781,1349,841,1406,dECM_2_1
15,5720.0,293.8061325481597,85.34008551604065,97.02969948050932,75.69560700801178,0.625619657696283,0.8326915927918247,636.7015734265734,997.6421328671329,955,592,1044,682,dECM_2_1
16,5471.0,289.86500705120545,83.46192874146915,99.0225859710091,71.24802474677307,0.6944791098183767,0.8182480879791396,842.1683421677939,1000.1433010418571,966,797,1036,893,dECM_2_1
17,2816.0,203.85891039679558,59.87856509615288,62.12609577638951,58.23897687641674,0.34816899336143126,0.8514969902892396,1061.7400568181818,998.2514204545455,969,1030,1028,1096,dECM_2_1
18,5513.0,292.492424049175,83.78167824843898,89.91119498966111,78.6819855332495,0.4839280806376812,0.8097829212092017,743.0547796118266,1182.9874841284238,1139,702,1227,790,dECM_2_1
19,2600.0,195.23149339882607,57.53627391751592,61.50406284749731,54.23800276904894,0.4715104270223377,0.8572025597439892,1380.2415384615385,1180.9257692307692,1150,1353,1210,1409,dECM_2_1
20,2210.0,178.5096679918781,53.04582352895192,55.27450878655404,51.287276744637666,0.3729165072915415,0.8715225992974305,312.31402714932125,1180.2755656108598,1152,285,1209,338,dECM_2_1
21,2890.0,204.0660171779821,60.66021994919422,61.365323612019914,60.35680405272712,0.18055266429300093,0.8721000877372755,949.9474048442906,1180.89446366782,1152,918,1214,982,dECM_2_1
22,6044.0,313.6639969244288,87.72376991659287,103.69594267911478,74.97676111972174,0.6908016565038401,0.7719780912255048,419.3386829913964,1366.58818663137,1326,370,1407,473,dECM_2_1
23,3606.0,231.4802307403552,67.75914549575575,70.38839217903104,66.03745775393082,0.34612945448019106,0.8456833364125544,208.0008319467554,1362.951192457016,1331,173,1401,243,dECM_2_1
24,3067.0,210.5512985522207,62.49020470203906,65.23490742588557,60.46065486571312,0.3755196063211625,0.8693762895898498,845.8242582328007,1367.1754157156831,1336,812,1401,879,dECM_2_1
25,2913.0,210.40916292848974,60.90112309156153,64.09923177270858,58.19986875677683,0.4190456797297055,0.8268391872733739,1272.126330243735,1366.960178510127,1336,1244,1400,1304,dECM_2_1
1,3355.0,226.89444430272832,65.35838639827693,70.41673570911648,61.2802723974113,0.4926076170996971,0.8189448659401615,1131.0068554396423,61.44798807749628,26,1099,99,1163,dECM_1_2
2,3086.0,219.23759005323592,62.68346859462,63.52551590166235,62.39103527766451,0.18814459683992674,0.8068183122386356,926.1276733635774,60.605962410887884,29,893,92,961,dECM_1_2
3,2445.0,201.92388155425118,55.794898394723084,61.92107389087509,51.75181052182703,0.5490788405959036,0.7535522231280091,1343.4674846625767,69.23231083844581,42,1310,99,1374,dECM_1_2
4,2326.0,186.71067811865478,54.420172556268035,56.31877943051636,53.329105114736194,0.321483608793772,0.8384579016108774,803.256233877902,239.49355116079107,214,777,269,831,dECM_1_2
5,2403.0,186.40916292848976,55.31360254041131,62.62009896626762,49.127843457681124,0.6200808176339853,0.8690187007792577,1228.7540574282148,244.37203495630462,216,1201,274,1259,dECM_1_2
6,2452.0,193.6812408671319,55.87471130744766,64.63746883848385,48.86277504863823,0.6546279210590019,0.8214009714588967,1016.9637030995106,249.13499184339315,225,985,278,1049,dECM_1_2
7,2184.0,188.0243866176395,52.732866086546025,55.16758877209355,51.52637385986025,0.3572803049527776,0.7763081344765053,1451.8163919413919,252.62042124542126,226,1423,280,1479,dECM_1_2
8,2199.0,189.92388155425115,52.91364435448217,59.30849052435857,48.09509179540645,0.5851418295228722,0.7660831996125841,1133.5657116871305,405.67075943610735,377,1105,434,1162,dECM_1_2
9,3404.0,222.3086578651014,65.83393813435814,67.60513309219006,64.32475438671453,0.3077187190482849,0.8655390410597694,279.9236192714454,412.8448883666275,379,248,446,314,dECM_1_2
10,3175.0,216.65180361560905,63.58093703724523,70.79568521339856,57.61029230480114,0.581209051270617,0.8500196704610237,919.1902362204725,428.76503937007874,395,890,464,951,dECM_1_2
11,2214.0,184.99494936611663,53.09380709690773,58.35528282264628,49.07281466619217,0.5411410725552096,0.812957303750009,1324.2868112014453,430.11156278229447,400,1298,464,1349,dECM_1_2
12,3928.0,251.89444430272832,70.71976337431934,76.4608557706916,66.24017512697799,0.49947563773525805,0.7779365297363313,808.3182281059063,613.6924643584522,575,774,652,845,dECM_1_2
13,3275.0,213.92388155425118,64.5744493511765,68.93944911650385,60.76810377890301,0.47223873488218904,0.8992959306299897,381.0103816793893,612.1618320610687,579,352,646,413,dECM_1_2
14,2230.0,186.75230867899737,53.28530927713015,58.65194243184416,49.37533143641023,0.539733011281954,0.8034942409717195,1014.817937219731,611.9313901345291,582,989,641,1044,dECM_1_2
15,1506.0,152.71067811865473,43.78925386862803,47.35948578893239,41.35903194064874,0.4871830950618485,0.8115140149828651,1245.1945551128817,622.4176626826029,598,1225,648,1268,dECM_1_2
16,2484.0,198.65180361560905,56.23812789489124,61.89692564166972,51.82200492869473,0.5468498827970937,0.7909999035540566,685.5152979066022,764.4057971014493,734,657,797,712,dECM_1_2
17,2513.0,187.58073580374358,56.56545744462308,61.95945369305314,51.84878027431233,0.5474813172998403,0.897482279719914,482.27298050139274,790.6824512534819,763,453,819,514,dECM_1_2
18,2434.0,194.02438661763952,55.66924691322298,61.301974971231814,51.202222604944396,0.5498766264277806,0.812489579380009,915.2497945768283,795.5497124075596,771,887,824,947,dECM_1_2
19,2543.0,196.33809511662426,56.90209277576282,62.08443188075793,53.29858699064199,0.512837770317946,0.8289857742575877,803.4349193865513,975.0055053086905,949,770,1005,833,dECM_1_2
20,5234.0,280.45079348883235,81.63415815174332,97.81471194541764,68.5618469004253,0.7132242356724053,0.8362386496686007,589.8098968284295,985.812571646924,950,545,1024,638,dECM_1_2
21,2127.0,177.63961030678928,52.04018170271594,53.9946964004035,50.66778076600837,0.3455932847906723,0.847027928680815,170.32722143864598,978.633756464504,954,146,1006,196,dECM_1_2
22,3031.0,231.86500705120548,62.1223716554051,75.53871209960035,53.4157863009111,0.7070822798777219,0.7084763871956556,918.1530847904982,1151.725503134279,1113,891,1191,947,dECM_1_2
23,3633.0,235.3086578651014,68.01234642344613,72.81424484145174,64.27229715464539,0.46995850614247175,0.8245166847892137,70.05505092210295,1162.289843104872,1129,38,1201,106,dECM_1_2
24,1985.0,187.33809511662426,50.273059348912696,56.25225037397627,46.69612203052692,0.557584674302033,0.7107521387868005,1131.2020151133502,1165.1425692695213,1140,1103,1195,1158,dECM_1_2
25,2740.0,207.4386001800126,59.0650180104463,63.21465980506374,56.7530396196255,0.44043829576892557,0.8001681867917121,705.5616788321167,1167.1226277372264,1141,675,1200,735,dECM_1_2
26,3408.0,222.89444430272832,65.872607117507,68.55684974856314,63.72568159677836,0.36874528184253524,0.8620073376422942,267.6475938967136,1178.0234741784038,1144,232,1210,302,dECM_1_2
27,2402.0,183.78174593052026,55.30209206218026,56.976094114513685,53.90960559501628,0.32364266486607574,0.893671938193967,175.00124895920067,1345.725645295587,1319,148,1372,204,dECM_1_2
28,2525.0,196.12489168102783,56.700351413869434,58.105702313709024,56.05082707036658,0.26358722232583265,0.8249085652115533,384.14257425742574,1350.6605940594059,1324,357,1379,414,dECM_1_2
29,2522.0,189.43860018001257,56.666658025880444,64.02006548965252,50.28873798135128,0.6188422951722359,0.8831164904302058,609.3568596352102,1349.3033306899285,1325,578,1375,642,dECM_1_2
